payment_id,customer_id,amount_paise,currency,failure_reason_raw,true_failure_category,failed_at,subscription_id,attempt_number,ground_truth_recovered
PAY00049,CUST0249,1999900,INR,Bank declined the transaction. Contact your bank.,bank_declined,2026-08-15T07:34:00,,1,True
PAY00050,CUST0201,499900,INR,DO_NOT_HONOR,bank_declined,2026-08-15T14:49:00,SUB0136,1,True
PAY00051,CUST0108,99900,INR,Transaction failed,other,2026-08-09T01:41:00,SUB0027,1,False
PAY00052,CUST0183,1999900,INR,Gateway timeout,network_error,2026-08-06T08:28:00,SUB0112,1,True
PAY00053,CUST0024,149900,INR,Transaction failed,other,2026-08-01T13:03:00,SUB0099,1,True
PAY00054,CUST0021,49900,INR,Card has expired,card_expired,2026-08-21T10:50:00,SUB0121,1,True
PAY00055,CUST0179,499900,INR,TIMEOUT_ERROR - no response from processor,network_error,2026-08-01T02:01:00,,1,True
PAY00056,CUST0141,49900,INR,Unknown error occurred,other,2026-08-10T07:19:00,SUB0118,1,True
PAY00057,CUST0017,49900,INR,Your account has insufficient funds for this transaction,insufficient_funds,2026-08-21T16:36:00,SUB0110,1,True
PAY00058,CUST0001,99900,INR,DO_NOT_HONOR,bank_declined,2026-08-03T16:23:00,SUB0130,1,True
PAY00059,CUST0202,49900,INR,Payment could not be processed,other,2026-08-21T12:23:00,SUB0018,1,True
PAY00060,CUST0089,999900,INR,Insufficient balance in account,insufficient_funds,2026-08-11T04:02:00,SUB0045,1,True
PAY00061,CUST0213,299900,INR,"Network error, please retry",network_error,2026-08-21T05:51:00,,1,True
PAY00062,CUST0242,1999900,INR,Bank declined the transaction. Contact your bank.,bank_declined,2026-08-07T01:20:00,SUB0140,1,False
PAY00063,CUST0122,1999900,INR,INSUFFICIENT_FUNDS,insufficient_funds,2026-08-02T20:21:00,,1,True
PAY00064,CUST0112,299900,INR,CVV verification failed,invalid_cvv,2026-08-11T05:31:00,SUB0133,1,True
PAY00065,CUST0069,299900,INR,TIMEOUT_ERROR - no response from processor,network_error,2026-08-20T05:34:00,SUB0084,1,True
PAY00066,CUST0170,299900,INR,Your account has insufficient funds for this transaction,insufficient_funds,2026-08-06T22:28:00,SUB0091,1,True
PAY00067,CUST0158,1999900,INR,Payment could not be processed,other,2026-08-02T02:42:00,SUB0041,1,False
PAY00068,CUST0244,99900,INR,Transaction failed,insufficient_funds,2026-08-21T11:23:00,SUB0040,1,True
PAY00069,CUST0174,1999900,INR,Bank declined the transaction. Contact your bank.,bank_declined,2026-08-03T18:08:00,SUB0072,1,False
PAY00070,CUST0064,299900,INR,Transaction failed,other,2026-08-17T12:58:00,SUB0067,1,False
PAY00071,CUST0181,299900,INR,Bank declined the transaction. Contact your bank.,bank_declined,2026-08-07T03:08:00,SUB0114,1,False
PAY00072,CUST0023,999900,INR,"Network error, please retry",network_error,2026-08-03T17:34:00,SUB0041,1,True
PAY00073,CUST0183,1999900,INR,TIMEOUT_ERROR - no response from processor,network_error,2026-08-12T16:14:00,SUB0036,1,True
PAY00074,CUST0061,499900,INR,Gateway timeout,network_error,2026-08-12T14:51:00,SUB0023,1,False
PAY00075,CUST0017,499900,INR,This card is no longer valid,card_expired,2026-08-14T13:52:00,SUB0082,1,False
PAY00076,CUST0165,149900,INR,Your account has insufficient funds for this transaction,insufficient_funds,2026-08-05T17:40:00,,1,True
PAY00077,CUST0034,499900,INR,Declined by issuing bank,bank_declined,2026-08-05T09:10:00,,1,True
PAY00078,CUST0058,1999900,INR,This card is no longer valid,card_expired,2026-08-03T08:12:00,SUB0033,1,False
PAY00079,CUST0161,999900,INR,This card is no longer valid,card_expired,2026-08-06T18:37:00,,1,True
PAY00080,CUST0185,499900,INR,CVV verification failed,invalid_cvv,2026-08-02T00:05:00,,1,True
PAY00081,CUST0148,299900,INR,INSUFFICIENT_FUNDS,insufficient_funds,2026-08-20T20:01:00,,1,True
PAY00082,CUST0075,1999900,INR,Bank declined the transaction. Contact your bank.,bank_declined,2026-08-13T09:29:00,SUB0113,1,True
PAY00083,CUST0107,99900,INR,DO_NOT_HONOR,bank_declined,2026-08-11T22:20:00,,1,False
PAY00084,CUST0250,49900,INR,EXPIRED_CARD,card_expired,2026-08-11T07:29:00,SUB0037,1,True
PAY00085,CUST0025,299900,INR,Your account has insufficient funds for this transaction,insufficient_funds,2026-08-08T05:52:00,SUB0081,1,True
PAY00086,CUST0049,299900,INR,"Network error, please retry",network_error,2026-08-16T09:31:00,,1,True
PAY00087,CUST0130,149900,INR,DO_NOT_HONOR,bank_declined,2026-08-02T01:18:00,,1,False
PAY00088,CUST0168,1999900,INR,"Network error, please retry",network_error,2026-08-04T13:08:00,,1,False
PAY00089,CUST0196,499900,INR,Card has expired,card_expired,2026-08-18T06:23:00,SUB0130,1,False
PAY00090,CUST0116,499900,INR,"Network error, please retry",network_error,2026-08-20T03:08:00,SUB0087,1,False
PAY00091,CUST0143,499900,INR,Transaction failed,other,2026-08-13T16:02:00,SUB0086,1,True
PAY00092,CUST0206,499900,INR,Issuer declined transaction (generic decline),bank_declined,2026-08-05T10:59:00,SUB0077,1,False
PAY00093,CUST0152,999900,INR,This card is no longer valid,card_expired,2026-08-19T09:30:00,SUB0029,1,False
PAY00094,CUST0107,149900,INR,Declined by issuing bank,bank_declined,2026-08-21T18:36:00,SUB0123,1,True
PAY00095,CUST0044,999900,INR,Issuer declined transaction (generic decline),bank_declined,2026-08-08T01:36:00,SUB0005,1,False
PAY00096,CUST0113,99900,INR,Card has expired,card_expired,2026-08-14T16:49:00,SUB0016,1,False
PAY00097,CUST0181,999900,INR,INSUFFICIENT_FUNDS,insufficient_funds,2026-08-16T16:24:00,SUB0137,1,True
PAY00098,CUST0088,99900,INR,Bank declined the transaction. Contact your bank.,bank_declined,2026-08-08T08:35:00,,1,True
PAY00099,CUST0077,999900,INR,TIMEOUT_ERROR - no response from processor,network_error,2026-08-16T10:30:00,,1,True
PAY00100,CUST0204,999900,INR,"Network error, please retry",network_error,2026-08-18T12:57:00,,1,False
PAY00101,CUST0245,149900,INR,Gateway timeout,network_error,2026-08-03T11:59:00,SUB0123,1,True
PAY00102,CUST0055,999900,INR,Txn declined - low balance,insufficient_funds,2026-08-09T04:06:00,SUB0063,1,True
PAY00103,CUST0013,49900,INR,DO_NOT_HONOR,bank_declined,2026-08-04T13:21:00,SUB0036,1,False
PAY00104,CUST0002,299900,INR,Transaction failed,other,2026-08-16T20:12:00,SUB0074,1,False
PAY00105,CUST0166,99900,INR,Insufficient balance in account,insufficient_funds,2026-08-18T23:46:00,SUB0045,1,False
PAY00106,CUST0107,49900,INR,Incorrect CVV entered,invalid_cvv,2026-08-13T15:11:00,,1,False
PAY00107,CUST0238,499900,INR,Unknown error occurred,insufficient_funds,2026-08-04T10:18:00,,1,True
PAY00108,CUST0135,299900,INR,DO_NOT_HONOR,bank_declined,2026-08-09T06:51:00,SUB0118,1,True
PAY00109,CUST0166,1999900,INR,Payment could not be processed,insufficient_funds,2026-08-10T18:43:00,SUB0104,1,False
PAY00110,CUST0212,999900,INR,Bank declined the transaction. Contact your bank.,bank_declined,2026-08-04T05:08:00,,1,True
PAY00111,CUST0002,149900,INR,INSUFFICIENT_FUNDS,insufficient_funds,2026-08-11T09:37:00,SUB0093,1,False
PAY00112,CUST0178,99900,INR,Insufficient balance in account,insufficient_funds,2026-08-13T21:32:00,,1,False
PAY00113,CUST0198,149900,INR,Card has expired,card_expired,2026-08-12T19:14:00,SUB0040,1,True
PAY00114,CUST0117,999900,INR,TIMEOUT_ERROR - no response from processor,network_error,2026-08-18T15:48:00,,1,True
PAY00115,CUST0056,1999900,INR,TIMEOUT_ERROR - no response from processor,network_error,2026-08-03T16:28:00,SUB0145,1,True
PAY00116,CUST0029,99900,INR,INSUFFICIENT_FUNDS,insufficient_funds,2026-08-06T10:54:00,SUB0053,1,True
PAY00117,CUST0184,299900,INR,Declined by issuing bank,bank_declined,2026-08-02T14:08:00,SUB0015,1,False
PAY00118,CUST0144,299900,INR,Bank declined the transaction. Contact your bank.,bank_declined,2026-08-09T00:47:00,SUB0109,1,True
PAY00119,CUST0089,49900,INR,TIMEOUT_ERROR - no response from processor,network_error,2026-08-16T01:18:00,,1,True
PAY00120,CUST0197,299900,INR,Issuer declined transaction (generic decline),bank_declined,2026-08-15T12:24:00,,1,True
PAY00121,CUST0224,499900,INR,Bank declined the transaction. Contact your bank.,bank_declined,2026-08-13T16:08:00,SUB0001,1,False
PAY00122,CUST0194,999900,INR,Txn declined - low balance,insufficient_funds,2026-08-18T13:34:00,SUB0118,1,True
PAY00123,CUST0089,999900,INR,INSUFFICIENT_FUNDS,insufficient_funds,2026-08-04T01:51:00,,1,True
PAY00124,CUST0240,49900,INR,Incorrect CVV entered,invalid_cvv,2026-08-04T19:02:00,,1,True
PAY00125,CUST0224,99900,INR,Insufficient balance in account,insufficient_funds,2026-08-18T06:48:00,SUB0129,1,False
PAY00126,CUST0075,1999900,INR,Txn declined - low balance,insufficient_funds,2026-08-11T07:19:00,,1,False
PAY00127,CUST0134,499900,INR,Txn declined - low balance,insufficient_funds,2026-08-19T23:58:00,,1,True
PAY00128,CUST0143,999900,INR,Bank declined the transaction. Contact your bank.,bank_declined,2026-08-13T16:20:00,SUB0077,1,False
PAY00129,CUST0097,99900,INR,Your account has insufficient funds for this transaction,insufficient_funds,2026-08-10T22:09:00,,1,False
PAY00130,CUST0144,99900,INR,EXPIRED_CARD,card_expired,2026-08-13T07:16:00,,1,True
PAY00131,CUST0237,999900,INR,Bank declined the transaction. Contact your bank.,bank_declined,2026-08-07T01:17:00,,1,False
PAY00132,CUST0011,499900,INR,Incorrect CVV entered,invalid_cvv,2026-08-18T06:30:00,,1,True
PAY00133,CUST0078,99900,INR,Transaction failed,other,2026-08-04T23:48:00,SUB0053,1,False
PAY00134,CUST0102,299900,INR,CVV verification failed,invalid_cvv,2026-08-15T17:41:00,SUB0132,1,True
PAY00135,CUST0226,999900,INR,Declined by issuing bank,bank_declined,2026-08-16T10:58:00,SUB0012,1,True
PAY00136,CUST0145,499900,INR,Unknown error occurred,invalid_cvv,2026-08-19T23:26:00,SUB0059,1,True
PAY00137,CUST0098,999900,INR,DO_NOT_HONOR,bank_declined,2026-08-11T08:48:00,,1,False
PAY00138,CUST0165,1999900,INR,"Network error, please retry",network_error,2026-08-12T05:08:00,SUB0139,1,True
PAY00139,CUST0165,1999900,INR,Transaction failed,other,2026-08-02T00:26:00,,1,True
PAY00140,CUST0018,299900,INR,Gateway timeout,network_error,2026-08-12T01:39:00,,1,True
PAY00141,CUST0234,499900,INR,Unknown error occurred,bank_declined,2026-08-14T00:01:00,SUB0074,1,False
PAY00142,CUST0005,99900,INR,Issuer declined transaction (generic decline),bank_declined,2026-08-04T03:33:00,SUB0135,1,True
PAY00143,CUST0065,49900,INR,"Network error, please retry",network_error,2026-08-12T12:29:00,,1,True
PAY00144,CUST0058,1999900,INR,Insufficient balance in account,insufficient_funds,2026-08-21T01:05:00,SUB0122,1,True
PAY00145,CUST0015,1999900,INR,DO_NOT_HONOR,bank_declined,2026-08-14T20:50:00,,1,True
PAY00146,CUST0250,1999900,INR,Insufficient balance in account,insufficient_funds,2026-08-19T15:17:00,SUB0072,1,True
PAY00147,CUST0231,1999900,INR,Declined by issuing bank,bank_declined,2026-08-11T00:13:00,,1,False
PAY00148,CUST0183,499900,INR,Gateway timeout,network_error,2026-08-08T18:53:00,,1,True
PAY00149,CUST0139,999900,INR,This card is no longer valid,card_expired,2026-08-03T16:47:00,SUB0112,1,False
PAY00150,CUST0060,499900,INR,"Network error, please retry",network_error,2026-08-20T12:49:00,,1,True
PAY00151,CUST0201,499900,INR,Payment could not be processed,other,2026-08-13T13:11:00,,1,False
PAY00152,CUST0022,999900,INR,"Network error, please retry",network_error,2026-08-03T02:17:00,,1,True
PAY00153,CUST0163,49900,INR,Your account has insufficient funds for this transaction,insufficient_funds,2026-08-03T00:19:00,,1,True
PAY00154,CUST0027,499900,INR,INSUFFICIENT_FUNDS,insufficient_funds,2026-08-18T16:26:00,SUB0142,1,True
PAY00155,CUST0024,49900,INR,Bank declined the transaction. Contact your bank.,bank_declined,2026-08-10T13:24:00,,1,False
PAY00156,CUST0144,99900,INR,Incorrect CVV entered,invalid_cvv,2026-08-13T05:08:00,SUB0038,1,True
PAY00157,CUST0017,299900,INR,Txn declined - low balance,insufficient_funds,2026-08-03T11:16:00,,1,False
PAY00158,CUST0127,99900,INR,DO_NOT_HONOR,bank_declined,2026-08-10T00:25:00,,1,True
PAY00159,CUST0206,1999900,INR,CVV verification failed,invalid_cvv,2026-08-21T19:08:00,,1,True
PAY00160,CUST0178,299900,INR,Txn declined - low balance,insufficient_funds,2026-08-11T09:47:00,SUB0148,1,True
PAY00161,CUST0201,1999900,INR,Your account has insufficient funds for this transaction,insufficient_funds,2026-08-13T11:07:00,SUB0140,1,False
PAY00162,CUST0047,299900,INR,Unknown error occurred,network_error,2026-08-07T14:51:00,,1,True
PAY00163,CUST0210,99900,INR,"Network error, please retry",network_error,2026-08-21T09:15:00,SUB0109,1,True
PAY00164,CUST0203,299900,INR,EXPIRED_CARD,card_expired,2026-08-19T12:34:00,,1,False
PAY00165,CUST0178,149900,INR,Card has expired,card_expired,2026-08-18T19:40:00,SUB0064,1,False
PAY00166,CUST0169,49900,INR,DO_NOT_HONOR,bank_declined,2026-08-19T20:43:00,,1,False
PAY00167,CUST0085,49900,INR,Payment could not be processed,other,2026-08-09T07:32:00,SUB0148,1,False
PAY00168,CUST0057,999900,INR,Issuer declined transaction (generic decline),bank_declined,2026-08-19T22:32:00,,1,True
PAY00169,CUST0124,49900,INR,Your account has insufficient funds for this transaction,insufficient_funds,2026-08-04T23:09:00,SUB0053,1,True
PAY00170,CUST0134,999900,INR,Issuer declined transaction (generic decline),bank_declined,2026-08-15T10:04:00,,1,True
PAY00171,CUST0030,999900,INR,Txn declined - low balance,insufficient_funds,2026-08-06T23:15:00,SUB0085,1,True
PAY00172,CUST0144,299900,INR,Issuer declined transaction (generic decline),bank_declined,2026-08-21T05:11:00,SUB0008,1,False
PAY00173,CUST0189,299900,INR,DO_NOT_HONOR,bank_declined,2026-08-13T00:45:00,SUB0017,1,True
PAY00174,CUST0148,99900,INR,INSUFFICIENT_FUNDS,insufficient_funds,2026-08-15T03:16:00,SUB0081,1,True
PAY00175,CUST0153,149900,INR,EXPIRED_CARD,card_expired,2026-08-12T14:39:00,,1,False
PAY00176,CUST0205,149900,INR,Insufficient balance in account,insufficient_funds,2026-08-04T07:19:00,SUB0037,1,True
PAY00177,CUST0131,299900,INR,This card is no longer valid,card_expired,2026-08-14T05:31:00,,1,False
PAY00178,CUST0166,299900,INR,Transaction failed,other,2026-08-10T04:11:00,SUB0014,1,True
PAY00179,CUST0222,99900,INR,Card has expired,card_expired,2026-08-13T17:32:00,SUB0126,1,False
PAY00180,CUST0107,49900,INR,"Network error, please retry",network_error,2026-08-19T00:50:00,SUB0071,1,True
PAY00181,CUST0058,499900,INR,DO_NOT_HONOR,bank_declined,2026-08-16T17:32:00,SUB0140,1,True
PAY00182,CUST0211,49900,INR,Unknown error occurred,other,2026-08-15T17:13:00,SUB0064,1,False
PAY00183,CUST0077,149900,INR,Incorrect CVV entered,invalid_cvv,2026-08-03T14:55:00,,1,False
PAY00184,CUST0061,499900,INR,Txn declined - low balance,insufficient_funds,2026-08-21T13:10:00,,1,True
PAY00185,CUST0209,499900,INR,Insufficient balance in account,insufficient_funds,2026-08-09T19:34:00,,1,True
PAY00186,CUST0075,499900,INR,Txn declined - low balance,insufficient_funds,2026-08-04T04:48:00,,1,False
PAY00187,CUST0071,99900,INR,Incorrect CVV entered,invalid_cvv,2026-08-08T04:45:00,SUB0101,1,True
PAY00188,CUST0126,299900,INR,Txn declined - low balance,insufficient_funds,2026-08-15T02:40:00,,1,False
PAY00189,CUST0104,149900,INR,Bank declined the transaction. Contact your bank.,bank_declined,2026-08-15T15:20:00,,1,False
PAY00190,CUST0217,999900,INR,TIMEOUT_ERROR - no response from processor,network_error,2026-08-12T02:50:00,SUB0110,1,True
PAY00191,CUST0212,149900,INR,Txn declined - low balance,insufficient_funds,2026-08-11T17:36:00,,1,True
PAY00192,CUST0202,49900,INR,This card is no longer valid,card_expired,2026-08-04T20:50:00,SUB0041,1,False
PAY00193,CUST0113,999900,INR,Issuer declined transaction (generic decline),bank_declined,2026-08-05T20:19:00,,1,True
PAY00194,CUST0071,149900,INR,Txn declined - low balance,insufficient_funds,2026-08-21T05:03:00,SUB0060,1,True
PAY00195,CUST0110,49900,INR,Payment could not be processed,bank_declined,2026-08-05T18:14:00,SUB0003,1,False
PAY00196,CUST0179,299900,INR,Card has expired,card_expired,2026-08-05T15:04:00,SUB0027,1,False
PAY00197,CUST0027,1999900,INR,EXPIRED_CARD,card_expired,2026-08-05T20:43:00,SUB0003,1,True
PAY00198,CUST0157,99900,INR,Issuer declined transaction (generic decline),bank_declined,2026-08-21T23:09:00,,1,False
PAY00199,CUST0114,99900,INR,Incorrect CVV entered,invalid_cvv,2026-08-04T18:46:00,,1,True
PAY00200,CUST0081,49900,INR,Gateway timeout,network_error,2026-08-08T17:38:00,,1,True
PAY00201,CUST0200,999900,INR,Transaction failed,other,2026-08-10T06:33:00,SUB0101,1,False
PAY00202,CUST0076,49900,INR,DO_NOT_HONOR,bank_declined,2026-08-08T15:40:00,SUB0004,1,False
PAY00203,CUST0093,1999900,INR,Transaction failed,other,2026-08-19T13:23:00,SUB0121,1,False
PAY00204,CUST0245,49900,INR,Transaction failed,other,2026-08-09T06:02:00,,1,False
PAY00205,CUST0102,299900,INR,Issuer declined transaction (generic decline),bank_declined,2026-08-03T20:34:00,SUB0022,1,False
PAY00206,CUST0080,99900,INR,INSUFFICIENT_FUNDS,insufficient_funds,2026-08-18T10:25:00,,1,True
PAY00207,CUST0167,299900,INR,Gateway timeout,network_error,2026-08-08T01:15:00,SUB0117,1,True
PAY00208,CUST0157,999900,INR,Bank declined the transaction. Contact your bank.,bank_declined,2026-08-06T03:00:00,,1,False
PAY00209,CUST0042,1999900,INR,Bank declined the transaction. Contact your bank.,bank_declined,2026-08-09T05:23:00,,1,True
PAY00210,CUST0069,49900,INR,Gateway timeout,network_error,2026-08-11T13:17:00,SUB0148,1,True
PAY00211,CUST0161,49900,INR,Your account has insufficient funds for this transaction,insufficient_funds,2026-08-16T18:10:00,SUB0027,1,True
PAY00212,CUST0229,499900,INR,Declined by issuing bank,bank_declined,2026-08-01T01:54:00,SUB0121,1,False
PAY00213,CUST0094,1999900,INR,Card has expired,card_expired,2026-08-02T17:51:00,,1,False
PAY00214,CUST0108,999900,INR,INSUFFICIENT_FUNDS,insufficient_funds,2026-08-11T08:52:00,SUB0129,1,True
PAY00215,CUST0173,499900,INR,Incorrect CVV entered,invalid_cvv,2026-08-02T12:04:00,,1,False
PAY00216,CUST0199,299900,INR,"Network error, please retry",network_error,2026-08-01T11:12:00,,1,True
PAY00217,CUST0190,299900,INR,Issuer declined transaction (generic decline),bank_declined,2026-08-07T23:57:00,,1,False
PAY00218,CUST0039,149900,INR,Unknown error occurred,insufficient_funds,2026-08-21T22:56:00,SUB0097,1,True
PAY00219,CUST0218,499900,INR,"Network error, please retry",network_error,2026-08-08T13:31:00,,1,False
PAY00220,CUST0037,1999900,INR,Transaction failed,network_error,2026-08-17T13:44:00,SUB0022,1,True
PAY00221,CUST0149,299900,INR,INSUFFICIENT_FUNDS,insufficient_funds,2026-08-03T18:36:00,,1,True
PAY00222,CUST0034,1999900,INR,Txn declined - low balance,insufficient_funds,2026-08-13T22:53:00,SUB0070,1,False
PAY00223,CUST0060,1999900,INR,INSUFFICIENT_FUNDS,insufficient_funds,2026-08-19T03:09:00,SUB0081,1,True
PAY00224,CUST0105,99900,INR,Txn declined - low balance,insufficient_funds,2026-08-15T09:29:00,SUB0041,1,True
PAY00225,CUST0207,49900,INR,TIMEOUT_ERROR - no response from processor,network_error,2026-08-07T10:09:00,SUB0092,1,True
PAY00226,CUST0102,99900,INR,Bank declined the transaction. Contact your bank.,bank_declined,2026-08-01T12:54:00,,1,False
PAY00227,CUST0064,99900,INR,Insufficient balance in account,insufficient_funds,2026-08-04T00:03:00,,1,False
PAY00228,CUST0034,999900,INR,Your account has insufficient funds for this transaction,insufficient_funds,2026-08-21T02:37:00,,1,True
PAY00229,CUST0020,999900,INR,Insufficient balance in account,insufficient_funds,2026-08-15T04:05:00,,1,False
PAY00230,CUST0085,299900,INR,Unknown error occurred,insufficient_funds,2026-08-13T15:01:00,SUB0091,1,True
PAY00231,CUST0055,99900,INR,CVV verification failed,invalid_cvv,2026-08-02T19:39:00,,1,True
PAY00232,CUST0128,49900,INR,This card is no longer valid,card_expired,2026-08-09T12:08:00,,1,False
PAY00233,CUST0205,1999900,INR,Declined by issuing bank,bank_declined,2026-08-12T15:34:00,SUB0145,1,False
PAY00234,CUST0129,149900,INR,EXPIRED_CARD,card_expired,2026-08-20T07:01:00,,1,False
PAY00235,CUST0015,1999900,INR,"Network error, please retry",network_error,2026-08-19T07:10:00,,1,True
PAY00236,CUST0069,99900,INR,Declined by issuing bank,bank_declined,2026-08-19T12:22:00,,1,False
PAY00237,CUST0045,999900,INR,Txn declined - low balance,insufficient_funds,2026-08-12T18:01:00,SUB0146,1,False
PAY00238,CUST0145,1999900,INR,INSUFFICIENT_FUNDS,insufficient_funds,2026-08-16T17:19:00,SUB0015,1,True
PAY00239,CUST0060,49900,INR,Declined by issuing bank,bank_declined,2026-08-11T19:12:00,SUB0046,1,False
PAY00240,CUST0236,499900,INR,Transaction failed,network_error,2026-08-05T03:54:00,SUB0019,1,True
PAY00241,CUST0096,49900,INR,TIMEOUT_ERROR - no response from processor,network_error,2026-08-11T09:20:00,SUB0112,1,True
PAY00242,CUST0203,99900,INR,Issuer declined transaction (generic decline),bank_declined,2026-08-18T22:56:00,,1,False
PAY00243,CUST0058,999900,INR,DO_NOT_HONOR,bank_declined,2026-08-10T04:11:00,,1,False
PAY00244,CUST0243,149900,INR,Declined by issuing bank,bank_declined,2026-08-20T07:40:00,,1,False
PAY00245,CUST0037,149900,INR,Card has expired,card_expired,2026-08-06T20:56:00,,1,False
